customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,age,age_group
70,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,0,8,29.924663799183772,30
71,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,1,12,38.009703190820844,40
72,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,1,16,50.965479147890456,50
75,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,0,19,44.5478251235094,40
76,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,1,18,45.02148303571841,50
77,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,0,7,33.38537825601725,30
78,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,0,8,37.88923528251335,40
79,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,0,18,54.330366859479334,50
80,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,0,13,44.77233349808245,40
82,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,0,19,57.593952011809634,60
83,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,1,18,55.92930455156062,60
86,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,1,7,33.91105640135904,30
87,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,0,8,48.775153542299655,50
88,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,1,7,56.991612470272166,60
89,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,1,14,56.02513129680522,60
90,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,0,11,38.21778412335197,40
91,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,1,17,67.93502677720522,70
92,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,0,12,42.38761649499546,40
93,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,1,10,46.543759331604015,50
94,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,0,21,48.48493539955887,50
95,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,1,8,62.10054694531272,60
96,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,0,15,54.41797988370297,50
97,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,1,10,43.51563418187473,40
98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,0,7,66.87545676550067,70
99,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,0,3,24.635027461681975,20
100,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,1,4,54.72462546848568,50
101,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,0,11,47.09134073300172,50
102,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,0,16,66.1772904787186,70
103,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,1,4,25.779472590603174,30
104,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,1,9,44.654603496781945,40
105,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,0,1,21.371442309351675,20
107,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,1,9,32.5859094099766,30
112,Shena,Parren,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,0,12,47.47190980697312,50
114,Sunny,Swindells,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,0,8,37.27320620594093,40
115,Alberik,Mereweather,Male,77,1981-12-21,Account Executive,Health,Mass Customer,0,18,41.11175182973882,40
116,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,1,2,23.9861435010257,20
117,Nance,Suttling,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,0,15,40.93652578129156,40
120,Sloan,Wagg,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,1,4,44.41366768016696,40
121,Myles,Pauncefort,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,0,15,65.33127721355916,70
122,Colver,Itter,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,1,12,43.78668697556659,40
123,Almeta,Kalinsky,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,0,15,34.16020593899499,30
124,Kath,Cunney,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,1,5,27.74802772862791,30
125,Darrelle,Antoniewski,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,0,16,62.875374628290466,60
126,Norman,Cliff,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,1,3,30.294281245127223,30
127,Merrili,Whitear,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,0,19,48.16186237273423,50
128,Isidro,Cypler,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,1,12,45.54168536704623,50
129,Weidar,Silkstone,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,1,19,37.53330737160484,40
130,Raddy,Delete,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,0,1,25.538536773988184,30
131,Jana,Renyard,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,0,8,58.2921182985917,60
132,Celesta,Willavoys,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,1,9,59.57072087085534,60
133,Eldridge,Fiddeman,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,1,16,45.63477420528383,50
134,Merna,McCulloch,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,1,5,25.500206075890343,30
135,Rosalia,Sigart,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,0,3,48.03591865041275,50
136,Mel,Bennet,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,1,7,49.68413866861984,50
137,Vaughn,Artin,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,0,10,35.19513478763665,40
138,Onofredo,Franc,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,1,13,37.760553653184886,40
140,Morrie,Flaxon,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,0,2,28.70081936705991,30
141,Townsend,Trobe,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,1,10,68.60307608691042,70
142,Bentley,Fortesquieu,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,0,17,55.485763616428486,60
143,Kendall,Figg,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,1,11,65.4161523307758,70
145,Filippo,Ferrara,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,0,4,25.53032305296722,30
146,Ricoriki,Matlock,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,0,8,37.81531179332465,40
147,Rea,Pattrick,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,1,10,49.15298470926407,50
149,Drucy,Kausche,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,1,1,27.999915173270853,30
150,Bradly,Crosse,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,0,17,39.44162855547583,40
151,Donnie,Brimson,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,1,13,57.99916224884394,60
152,Stephana,Cardew,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,0,16,41.91395858278645,40
153,Lorilyn,Walshe,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,1,12,45.51156838996935,50
155,Orran,Bogges,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,0,10,37.09250434347969,40
156,Shayla,Rimmington,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,1,11,43.395166273567234,40
157,Chad,Houtby,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,0,16,48.18924144280411,50
159,Arin,Matskevich,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,0,13,35.723550839985435,40
160,Wake,Durning,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,0,18,58.54674365024164,60
162,Port,Acuna,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,0,15,43.47182766976292,40
163,Kessia,Helder,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,1,14,46.40138816724062,50
164,Aarika,Van Vuuren,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,1,1,23.485106518746804,20
165,Aldon,Roelofs,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,1,12,38.8529785489733,40
166,Elston,Oleszczak,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,0,6,67.63933282045048,70
169,Alfy,Bruhnke,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,1,5,65.28473279444036,70
170,Jammal,Gever,Male,80,1975-06-02,Pharmacist,Health,High Net Worth,0,21,47.666301204469306,50
171,Halli,Davidoff,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,0,10,52.159206602937445,50
172,Hilton,Carney,Male,54,1988-09-12,Editor,Manufacturing,Affluent Customer,1,6,34.384714313568054,30
173,Ebba,Hanselmann,Female,99,1997-01-02,General Manager,Health,Affluent Customer,0,1,26.07790445436492,30
174,Catie,Tosspell,Female,93,1989-11-26,Food Chemist,Health,Mass Customer,0,12,33.18003523049311,30
175,Templeton,Hambrook,Male,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,0,5,47.17621585021836,50
176,Angelo,Clayal,Male,39,1992-04-13,Accountant I,Property,Mass Customer,0,10,30.800794041420094,30
177,Ondrea,Pablos,Female,25,1989-11-09,Professor,Financial Services,High Net Worth,0,4,33.226579649611914,30
179,Esteban,Sewill,Male,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,1,6,56.72603549059428,60
180,Trisha,Neasham,Female,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,0,14,51.37342729193175,50
181,Pavla,Braunle,Female,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,0,9,40.19455298239767,40
182,Lydon,Dahlman,Male,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,1,7,30.195716592875634,30
183,Dannie,Hissie,Female,7,1997-08-05,Geologist III,Retail,Affluent Customer,0,3,25.48925444786239,30
184,Nappie,Paolo,Male,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,1,7,51.13522938232374,50
186,Mireielle,Jeppe,Female,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,0,3,48.7395607512088,50
188,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,High Net Worth,1,13,47.61154306432954,50
189,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,0,10,41.53612741582204,40
190,Hayley,Girardengo,Female,42,1979-02-04,Registered Nurse,Health,Affluent Customer,0,10,43.989292094083744,40
192,Goldi,Osler,Female,2,1978-11-19,Junior Executive,Health,Mass Customer,1,8,44.20011093362186,40
193,Foss,Hardes,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,1,12,58.52757830119272,60
194,Ursala,Ferrai,Female,4,1974-11-16,Web Developer III,Financial Services,Affluent Customer,0,10,48.20840679185303,50
195,Talyah,Rylatt,Female,34,1958-11-14,Project Manager,Manufacturing,Mass Customer,0,6,64.21421115470784,60
196,Swen,Odhams,Male,90,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,0,6,56.93959223713938,60
198,Vanya,Gumb,Female,82,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,0,16,41.171985783892566,40
199,Verla,Alven,Female,61,1978-02-13,Junior Executive,Health,Mass Customer,1,21,44.96398698857165,40
200,Hube,Weald,Male,7,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,1,19,65.9883748952364,70
201,Salem,Huie,Male,45,1966-04-20,Design Engineer,Manufacturing,Mass Customer,1,11,56.783531537741034,60
202,Audie,Pillinger,Female,38,1963-06-24,Librarian,Entertainment,Affluent Customer,1,16,59.60631366194619,60
203,Donovan,Conry,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,1,11,59.05051853952752,60
204,Thorny,Hackworth,Male,56,1976-10-01,Editor,Financial Services,Mass Customer,0,5,46.3329404920659,50
205,Rolfe,Kellard,Male,18,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,1,6,64.16766673558904,60
208,Rutter,Excell,Male,57,1994-10-31,Office Assistant III,Property,High Net Worth,0,5,28.251802617913796,30
210,Albrecht,Thomasson,Male,50,1963-11-18,Assistant Manager,Property,Mass Customer,0,18,59.20384133191888,60
212,Nanice,Ellse,Female,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,0,1,21.1989541679114,20
213,Lockwood,Exroll,Male,13,1996-05-14,Actuary,Financial Services,High Net Worth,1,6,26.715836786993243,30
214,Jeramie,Cellier,Male,82,1957-11-29,Food Chemist,Health,Mass Customer,0,6,65.17247860715382,70
215,Debera,Foxworthy,Female,37,1974-06-24,Assistant Professor,Retail,High Net Worth,1,18,48.60540330786637,50
216,Cinderella,Parcall,Female,12,1995-01-12,Quality Engineer,Financial Services,High Net Worth,1,7,28.051935406403633,30
218,Stefa,Dunnan,Female,37,1993-08-06,Administrative Officer,Property,High Net Worth,1,8,29.48659867806561,30
219,Markus,Mughal,Male,9,1964-11-25,Database Administrator III,Health,Mass Customer,0,7,58.18260201831217,60
220,Jeniffer,Apark,Female,79,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,0,9,68.7290198092319,70
221,Mara,Bloore,Female,14,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,0,14,42.89412929128834,40
222,Nev,Larive,Male,89,1978-09-03,Clinical Specialist,Health,Mass Customer,0,16,44.41092977315997,40
224,Morgun,Girvan,Male,2,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,0,17,55.16269058960384,60
225,Brittaney,Pring,Female,84,1977-03-11,Pharmacist,Health,Affluent Customer,0,13,45.892137463940756,50
226,Bondie,Letty,Male,96,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,0,20,45.22135024722857,50
227,Wendall,McKeand,Male,99,1973-08-14,Accountant I,Entertainment,Mass Customer,0,18,49.46510610806076,50
228,Lucia,Pickervance,Female,59,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,0,12,36.68729410644539,40
230,Maegan,Scyone,Female,74,1954-06-24,Internal Auditor,Property,High Net Worth,0,11,68.60581399391741,70
231,Basile,Winsor,Male,48,1995-08-05,Design Engineer,Financial Services,Mass Customer,1,3,27.49066446997099,30
232,Zaria,Koeppke,Female,94,1987-11-11,Professor,Retail,Mass Customer,0,12,35.22251385770654,40
233,Art,Barwell,Male,34,1986-08-08,Environmental Tech,Property,Mass Customer,0,13,36.48195108092125,40
234,Mead,Alpes,Female,71,1969-08-12,Chief Design Engineer,Retail,High Net Worth,0,12,53.47066405928494,50
235,Leona,Phateplace,Female,30,1976-12-26,Social Worker,Health,Mass Customer,0,15,46.09748048946489,50
236,Tybalt,Gillingwater,Male,79,1954-10-30,Research Nurse,Health,Affluent Customer,0,14,68.25536189702288,70
237,Reginald,Dartan,Male,18,1974-03-07,Account Coordinator,Property,High Net Worth,1,11,48.90383517162811,50
239,Wells,Pressman,Male,62,1992-12-13,Registered Nurse,Health,Affluent Customer,0,3,30.1327447317149,30
240,Gavin,Fawks,Male,49,1989-07-28,Administrative Assistant III,IT,High Net Worth,1,15,33.51132197833872,30
241,Quillan,Duigan,Male,94,1987-05-09,Quality Engineer,Entertainment,Mass Customer,0,20,35.7317645610064,40
242,Taite,Droghan,Male,17,1992-03-20,Nurse,Property,Affluent Customer,0,8,30.86650380958782,30
243,Barbara,Croxley,Female,94,1976-09-02,Teacher,Manufacturing,High Net Worth,1,14,46.41233979526857,50
245,Noell,Grahlmans,Female,6,2001-09-26,Associate Professor,Financial Services,Affluent Customer,0,1,21.34680114628878,20
246,Binny,Whight,Female,63,1991-02-28,Technical Writer,Manufacturing,High Net Worth,0,9,31.923335914285385,30
247,Kristal,Joysey,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,1,13,39.74006041923758,40
248,Inger,Eskell,Female,76,1978-04-15,Clinical Specialist,Health,Affluent Customer,1,12,44.79697466114535,40
249,D'arcy,Slay,Male,65,1992-09-13,Quality Control Specialist,IT,High Net Worth,0,9,30.381894269350855,30
252,Anthea,Ruskin,Female,39,1983-01-24,Account Coordinator,Property,Mass Customer,1,13,40.0193269339504,40
253,Amalee,Choak,Female,82,1997-05-11,Food Chemist,Health,Mass Customer,1,1,25.724714450463402,30
254,Barbie,Rubi,Female,98,1961-09-22,Information Systems Manager,Retail,Mass Customer,0,14,61.35857414641883,60
255,Keeley,Kruger,Female,2,1954-01-15,Desktop Support Technician,IT,Mass Customer,0,5,69.04387911503558,70
256,Linell,Beadle,Female,16,1975-05-07,Director of Sales,Health,High Net Worth,1,21,47.737486786651004,50
258,Othella,Keher,Female,24,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,0,9,30.746035901280326,30
259,Venita,Dymick,Female,70,1983-07-22,Senior Developer,Health,High Net Worth,1,3,39.52924157969946,40
260,Farand,Marriner,Female,47,1979-08-30,Senior Quality Engineer,Health,High Net Worth,1,22,43.42254534363712,40
263,Tonia,Leigh,Female,89,1985-11-19,Dental Hygienist,Health,High Net Worth,0,7,37.19928271675224,40
264,Jedd,Spiby,Male,31,1977-12-07,Technical Writer,Health,Mass Customer,0,11,45.150164665046866,50
265,Pennie,Stoile,Male,74,1965-10-05,Sales Representative,Retail,High Net Worth,1,18,57.322899218117776,60
266,Lelia,Garatty,Female,69,1989-07-19,Account Executive,Retail,Affluent Customer,0,18,33.535963141401616,30
268,Kacie,Kidston,Female,60,1978-10-18,Chemical Engineer,Manufacturing,Mass Customer,0,10,44.287723957845486,40
269,Zacherie,Grindley,Male,55,1954-09-19,Nurse Practicioner,Property,Mass Customer,1,9,68.36761608430942,70
271,Doll,Burtwell,Female,51,1991-02-13,Financial Advisor,Financial Services,Mass Customer,0,4,31.96440451939021,30
272,Arlie,Crean,Female,22,1987-06-06,Product Engineer,Retail,Mass Customer,1,1,35.65510316481072,40
274,Tessi,Hesse,Female,66,1976-09-15,Social Worker,Health,Mass Customer,1,14,46.37674700417772,50
279,Tamera,Hinckes,Female,0,1981-09-09,Web Designer I,Manufacturing,Mass Customer,0,11,41.39375625145863,40
281,Jeanette,Sizzey,Female,51,1972-12-27,Cost Accountant,Financial Services,High Net Worth,1,8,50.09482471966811,50
282,Lauren,Curcher,Male,82,1989-10-27,VP Quality Control,Argiculture,High Net Worth,1,11,33.26217244070276,30
283,Sari,Noye,Female,34,1991-02-04,Assistant Manager,Retail,Mass Customer,0,2,31.989045682453106,30
284,Seth,Moorman,Male,38,1986-04-11,Financial Analyst,Financial Services,High Net Worth,1,9,36.80776201475288,40
285,Julee,Janovsky,Female,3,1977-11-19,Community Outreach Specialist,Manufacturing,Mass Customer,0,12,45.199446991172664,50
286,Kiley,Canaan,Male,99,1989-08-01,Accounting Assistant II,Manufacturing,Affluent Customer,1,11,33.50037035031077,30
287,Hannie,Wodham,Female,41,1985-05-06,Nuclear Power Engineer,Manufacturing,Affluent Customer,0,4,37.73865039712898,40
289,Modestia,Lithgow,Female,43,1970-04-12,Clinical Specialist,Health,High Net Worth,0,10,52.805352656586734,50
291,Aime,Burston,Female,63,1971-10-22,Assistant Media Planner,Entertainment,Mass Customer,0,4,51.27760054668715,50
293,Virgilio,Willcocks,Male,80,1989-12-10,Administrative Assistant III,Manufacturing,Mass Customer,1,20,33.141704532395266,30
297,Cecile,MacLise,Female,33,1959-04-27,Electrical Engineer,Manufacturing,High Net Worth,0,16,63.76519440556173,60
298,Maurise,Lenglet,Male,69,1956-08-15,Engineer I,Manufacturing,High Net Worth,0,9,66.46203280744541,70
299,Corabelle,Hartnell,Female,80,1956-09-15,Budget/Accounting Analyst I,Financial Services,Mass Customer,1,7,66.37715769022877,70
300,Malachi,Hadcroft,Male,88,1956-06-22,Clinical Specialist,Health,Mass Customer,0,9,66.60987978582278,70
301,Hildy,Bilbrook,Female,54,1980-10-10,Developer IV,Manufacturing,High Net Worth,0,19,42.3082171917928,40
303,Shane,Smetoun,Female,59,1974-08-15,Assistant Professor,Argiculture,Mass Customer,1,14,48.463032143502964,50
304,Paddy,Mumbray,Male,36,1969-03-27,VP Marketing,Manufacturing,Mass Customer,1,15,53.848495226249355,50
305,Cris,Chellam,Female,1,1974-03-17,Financial Analyst,Financial Services,Mass Customer,0,11,48.876456101558226,50
306,Ruy,Adanet,Male,19,1973-08-02,Registered Nurse,Health,High Net Worth,0,18,49.49796099214462,50
307,Ruben,Handlin,Male,55,1984-08-18,Clinical Specialist,Health,Affluent Customer,1,12,38.45324412595298,40
308,Iver,Dobsons,Male,2,1983-03-09,Database Administrator I,IT,High Net Worth,0,4,39.89885902564291,40
309,Maurizia,Ligerton,Female,53,1974-10-02,Clinical Specialist,Health,Mass Customer,1,21,48.331612607167514,50
310,Myranda,Clowser,Female,0,1985-02-13,Account Coordinator,Financial Services,Mass Customer,1,18,37.963158771702034,40
311,Jaimie,Halms,Female,86,1957-08-16,Internal Auditor,Health,High Net Worth,0,12,65.45995884288762,70
312,Garek,Prattin,Male,44,1958-03-17,Desktop Support Technician,Financial Services,Affluent Customer,1,6,64.87678465039906,60
313,Theo,McKune,Male,70,1987-12-22,Operator,Manufacturing,Mass Customer,1,13,35.11025967042001,40
314,Catie,Advani,Female,27,1962-08-25,Marketing Assistant,Retail,High Net Worth,1,5,60.43589948506371,60
315,Lisa,Odlin,Female,67,1958-04-16,Chief Design Engineer,Manufacturing,Affluent Customer,0,12,64.79464744018941,60
316,Genni,Larway,Female,72,1976-06-01,Environmental Specialist,Manufacturing,Mass Customer,1,10,46.6669651469185,50
317,Elicia,Dahler,Female,26,1974-02-10,Automation Specialist II,Entertainment,Mass Customer,1,14,48.97228284680283,50
